Date;Indicateurs;Français;Clients;Non-Clients
2018-01;Ponctualité;3.881282667;4.286887869;3.571169009
2018-01;Information Voyageurs;4.180525096;4.390179782;4.020125163
2018-02;Ponctualité;3.825396313;4.259458306;3.528359512
2018-03;Ponctualité;3.882731292;4.242196927;3.619194711
2018-04;Ponctualité;3.890170269;4.466106532;3.54630377
2018-04;Prix;4.675290441;5.032789066;4.453157851
2018-04;Innovation;5.4671567;5.835861474;5.234265278
2018-05;Note globale;4.803531477;5.355515895;4.365675028
2018-06;Ponctualité;3.71263399;4.26238646;3.327167662
2018-06;Prix;4.561931251;5.008297206;4.253876854
2018-06;Innovation;5.330958008;5.844950082;4.977180257
2018-08;Ponctualité;3.916789644;4.655084097;3.318102482
2018-08;Innovation;5.751879592;6.191151097;5.376856205
2018-09;Information Voyageurs;4.676056338;5.146401985;4.311538462
2018-09;Environnement;5.951668585;6.455729167;5.55257732
2018-10;Innovation;5.946006749;6.314720812;5.652525253
2018-12;Innovation;5.898725388;6.20309305;5.638604782
2019-01;Prix;5.076004326;5.37728445;4.849534366
2019-01;Innovation;5.88397789;6.169928321;5.659936661
2019-02;Note globale;5.927672956;6.400452489;5.51953125
2019-04;Note globale;5.87786309;6.383079522;5.477379415
2019-04;Innovation;6.047189372;6.356307416;5.784474065
2019-05;Innovation;6.208745174;6.460253348;5.932106493
2019-05;Information Voyageurs;5.154691913;5.457185502;4.829716591
2019-06;Innovation;6.040749733;6.453789749;5.627506361
2019-08;Environnement;6.092097985;6.442050827;5.763457253
2019-09;Ponctualité;4.702231925;5.106027978;4.314768866
2019-10;Prix;5.092318426;5.664627012;4.587033348
2019-10;Innovation;5.76209437;6.221152358;5.338881491
2019-10;Information Voyageurs;4.707445273;5.290996275;4.18365433
2019-11;Innovation;5.963665693;6.18627719;5.718867239
2019-12;Note globale;5.078609497;5.543855767;4.695301443
2019-12;Innovation;5.482950947;5.793357946;5.198546662
2020-01;Environnement;5.818687346;6.485364831;5.257918176
2020-02;Innovation;5.58538796;5.92246461;5.25062484
2020-03;Information Voyageurs;5.312179979;5.494269392;5.053636611
2020-04;Prix;5.36164063;5.625264592;4.940275724
2020-04;Innovation;6.11286383;6.280028159;5.834759976
2020-04;Information Voyageurs;5.421149389;5.809330994;4.808991851
2020-05;Note globale;5.66889185;5.866440818;5.352817007
2020-05;Ponctualité;4.635827282;4.9187713;4.178691904
2020-05;Information Voyageurs;5.155106697;5.422415767;4.726558307
2020-06;Ponctualité;4.750792512;5.216255254;4.285806046
2020-09;Note globale;5.489642598;5.945773533;5.024283966
2020-09;Prix;5.280203392;5.646124923;4.900198445
2020-10;Note globale;5.619993461;6.13813709;5.130228974
2020-10;Prix;5.579019589;5.963704827;5.201988113
2020-11;Information Voyageurs;5.38398457252;5.62232808365;5.11207542048
2020-11;Environnement;6.57304495854;6.76637470084;6.35463828877
2020-12;Note globale;5.97799502975;6.59182235149;5.32454908947
2020-12;Information Voyageurs;5.35057175502;5.90857837665;4.76863116821
2021-01;Ponctualité;5.08486457053;5.57410639901;4.48912646933
2021-01;Information Voyageurs;5.47659126505;5.82941028249;5.0399591093
2021-03;Innovation;6.13745721084;6.26866617642;5.98580993134
2021-03;Information Voyageurs;5.21209064723;5.46621387097;4.91912397373
2021-04;Prix;5.92020441832;6.29808582553;5.51031079605
2021-05;Note globale;5.918895778;6.432234261;5.342808865
2021-06;Environnement;6.47040247;6.682963468;6.28056482
2021-09;Information Voyageurs;5.434231322;6.05413306;4.972455048
2021-09;Environnement;6.318390428;6.750978937;5.999638296
2021-10;Ponctualité;4.767304948;5.534004257;4.201911578
2021-10;Prix;5.496266685;5.994283135;5.125278683
2021-11;Prix;5.535264039;6.081061799;5.064736549
2021-12;Ponctualité;4.887708484;5.4776081;4.413753591
2021-12;Prix;5.576904132;6.015106594;5.224122638
2021-12;Information Voyageurs;5.411342107;5.864930743;5.047111835
2021-12;Environnement;6.409402994;6.804451384;6.076408578
2018-01;Prix;5.010459194;5.248724368;4.822798521
2018-02;Innovation;5.595938136;5.972340669;5.322018704
2018-03;Note globale;5.1968324;5.315726872;5.10861167
2018-06;Note globale;4.890920494;5.463010673;4.501491392
2018-07;Ponctualité;3.966578272;4.45843838;3.612576169
2018-07;Information Voyageurs;4.718362471;5.287282179;4.305923409
2018-11;Ponctualité;4.432569975;4.78021978;4.132701422
2018-11;Innovation;6.000914077;6.200389105;5.824137931
